date_short,metric,value,time
2007-07-01,albums,25,July 2007
2007-09-01,albums,14,September 2007
2007-10-01,albums,74,October 2007
2007-11-01,albums,62,November 2007
2007-12-01,albums,34,December 2007
2008-01-01,albums,54,January 2008
2008-02-01,albums,12,February 2008
2008-03-01,albums,39,March 2008
2008-04-01,albums,189,April 2008
2008-05-01,albums,55,May 2008
2008-06-01,albums,14,June 2008
2008-07-01,albums,41,July 2008
2007-07-01,songs,123,July 2007
2007-09-01,songs,48,September 2007
2007-10-01,songs,404,October 2007
2007-11-01,songs,406,November 2007
2007-12-01,songs,267,December 2007
2008-01-01,songs,314,January 2008
2008-02-01,songs,77,February 2008
2008-03-01,songs,256,March 2008
2008-04-01,songs,1193,April 2008
2008-05-01,songs,493,May 2008
2008-06-01,songs,145,June 2008
2008-07-01,songs,363,July 2008
2007-07-01,minutes,1848,July 2007
2007-09-01,minutes,462,September 2007
2007-10-01,minutes,5141.5,October 2007
2007-11-01,minutes,4252.5,November 2007
2007-12-01,minutes,2684.5,December 2007
2008-01-01,minutes,2677.5,January 2008
2008-02-01,minutes,707,February 2008
2008-03-01,minutes,1820,March 2008
2008-04-01,minutes,12992,April 2008
2008-05-01,minutes,5498.5,May 2008
2008-06-01,minutes,826,June 2008
2008-07-01,minutes,2086,July 2008
2007-07-01,artists,21,July 2007
2007-09-01,artists,13,September 2007
2007-10-01,artists,58,October 2007
2007-11-01,artists,51,November 2007
2007-12-01,artists,28,December 2007
2008-01-01,artists,46,January 2008
2008-02-01,artists,9,February 2008
2008-03-01,artists,32,March 2008
2008-04-01,artists,135,April 2008
2008-05-01,artists,43,May 2008
2008-06-01,artists,11,June 2008
2008-07-01,artists,29,July 2008
