song,artist,album
Fiery Crash,Andrew Bird,Armchair Apocrypha
Heretics,Andrew Bird,Armchair Apocrypha
Imitosis,Andrew Bird,Armchair Apocrypha
A Sentence Of Sorts In Kongsvinger,of Montreal,Hissing Fauna Are You the Destroyer?
A Lack of Color,Death Cab for Cutie,Transatlanticism
Plasticities,Andrew Bird,Armchair Apocrypha
Funeral Face,Suburban Kids with Biblical Names,#2
Brainstorm,Arctic Monkeys,Favourite Worst Nightmare
Armchairs,Andrew Bird,Armchair Apocrypha
Clark Gable,The Postal Service,Give Up
Darkmatter,Andrew Bird,Armchair Apocrypha
Collection Of Stamps,I'm from Barcelona,Let Me Introduce My Friends
Teenage Poetry,Suburban Kids with Biblical Names,#2
Fluorescent Adolescent,Arctic Monkeys,Favourite Worst Nightmare
D Is for Dangerous,Arctic Monkeys,Favourite Worst Nightmare
Simple X,Andrew Bird,Armchair Apocrypha
Piece by Piece,Katie Melua,Piece by Piece
Nine Million Bicycles,Katie Melua,Piece by Piece
Rain Song,Sunny Day Real Estate,The Rising Tide
Gronlandic Edit,of Montreal,Hissing Fauna Are You the Destroyer?
Balaclava,Arctic Monkeys,Favourite Worst Nightmare
The Supine,Andrew Bird,Armchair Apocrypha
Death of an Interior Decorator,Death Cab for Cutie,Transatlanticism
Only One Who know,Arctic Monkeys,Favourite Worst Nightmare
Cato As A Pun,of Montreal,Hissing Fauna Are You the Destroyer?
Marching Bands of Manhattan,Death Cab for Cutie,Plans
Suffer For Fashion,of Montreal,Hissing Fauna Are You the Destroyer?
Oversleeping,I'm from Barcelona,Let Me Introduce My Friends
Spare-Ohs,Andrew Bird,Armchair Apocrypha
White Collar Boy,Belle and Sebastian,The Life Pursuit
Disappear,Sunny Day Real Estate,The Rising Tide
Another Sunny Day,Belle and Sebastian,The Life Pursuit
Teddy Picker,Arctic Monkeys,Favourite Worst Nightmare
Scythian Empires,Andrew Bird,Armchair Apocrypha
