discipline,month,count,total_length
Bike Bootcamp,35,1,45
Bike Bootcamp,36,4,165
Bike Bootcamp,37,1,45
Bike Bootcamp,39,2,75
Bike Bootcamp,40,1,45
Bike Bootcamp,42,2,90
Cycling,0,6,255
Cycling,1,2,75
Cycling,2,9,320
Cycling,3,1,45
Cycling,4,10,340
Cycling,5,6,255
Cycling,6,3,150
Cycling,7,1,30
Cycling,8,7,300
Cycling,9,7,315
Cycling,10,6,210
Cycling,11,2,90
Cycling,14,3,120
Cycling,15,1,45
Cycling,16,4,115
Cycling,17,1,45
Cycling,18,2,75
Cycling,19,1,45
Cycling,20,7,270
Cycling,21,1,45
Cycling,22,5,195
Cycling,23,2,75
Cycling,24,10,420
Cycling,25,7,315
Cycling,26,6,240
Cycling,27,11,335
Cycling,28,9,275
Cycling,29,6,200
Cycling,30,8,240
Cycling,31,6,210
Cycling,32,10,275
Cycling,33,16,415
Cycling,34,11,350
Cycling,35,16,435
Cycling,36,14,390
Cycling,37,8,140
Cycling,39,5,155
Cycling,40,13,255
Cycling,41,11,250
Cycling,42,13,305
Cycling,43,11,210
Cycling,44,11,220
Meditation,2,4,30
Meditation,4,2,10
Meditation,13,1,15
Meditation,14,1,20
Meditation,16,1,5
Meditation,18,1,10
Meditation,22,2,30
Meditation,27,1,10
Meditation,28,3,15
Meditation,29,5,35
Meditation,30,4,55
Meditation,33,1,10
Meditation,34,2,20
Meditation,35,6,110
Meditation,36,5,60
Meditation,37,6,70
Meditation,39,1,10
Meditation,40,1,10
Meditation,43,1,10
Running,41,2,40
Running,42,1,20
Running,43,2,50
Strength,0,2,20
Strength,2,1,10
Strength,4,2,20
Strength,8,1,10
Strength,14,1,10
Strength,20,2,20
Strength,22,1,10
Strength,25,1,10
Strength,27,5,110
Strength,28,3,40
Strength,29,1,20
Strength,30,2,60
Strength,31,3,30
Strength,32,1,10
Strength,33,8,90
Strength,34,1,10
Strength,35,15,230
Strength,36,15,235
Strength,37,3,40
Strength,39,3,55
Strength,40,7,90
Strength,41,2,50
Strength,42,24,260
Strength,43,5,80
Strength,44,6,90
Stretching,0,2,10
Stretching,2,2,10
Stretching,4,1,5
Stretching,12,1,5
Stretching,18,1,5
Stretching,20,1,5
Stretching,22,1,5
Stretching,24,7,35
Stretching,25,4,20
Stretching,26,3,15
Stretching,27,6,35
Stretching,28,6,30
Stretching,29,3,15
Stretching,30,8,40
Stretching,31,7,45
Stretching,32,13,80
Stretching,33,13,75
Stretching,34,10,50
Stretching,35,21,170
Stretching,36,18,135
Stretching,37,6,35
Stretching,39,6,35
Stretching,40,5,25
Stretching,41,8,55
Stretching,42,13,70
Stretching,43,7,45
Stretching,44,8,45
Walking,42,1,20
Walking,43,1,20
Yoga,10,1,30
Yoga,16,1,20
Yoga,28,6,50
Yoga,29,1,10
Yoga,32,5,85
Yoga,33,1,30
Yoga,34,4,100
Yoga,35,7,200
Yoga,36,11,245
Yoga,37,1,20
Yoga,39,6,175
Yoga,40,14,305
Yoga,41,2,40
Yoga,42,8,175
Yoga,43,5,100
Yoga,44,4,70
